127.0.0.1 - - [18/Jun/2021:10:23:48 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:31 +0530] "GET /trustworthy_evote/assets/js/main.js HTTP/1.1" 200 6333
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:32 +0530] "GET /trustworthy_evote/assets/img/hero-img.png HTTP/1.1" 200 68245
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:32 +0530] "GET /trustworthy_evote/assets/img/why-us.png HTTP/1.1" 200 87066
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:33 +0530] "GET /trustworthy_evote/assets/img/cta-bg.jpg HTTP/1.1" 200 212914
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:48 +0530] "GET /trustworthy_evote/assets/vendor/remixicon/remixicon.woff2?t=1590207869815 HTTP/1.1" 200 125268
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:48 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:48 +0530] "GET /trustworthy_evote/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d HTTP/1.1" 200 90528
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:48 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:48 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:48 +0530] "GET /trustworthy_evote/assets/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 93260
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:24:54 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:25:10 +0530] "GET /trustworthy_evote/eclogin.jsp HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:25:10 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:25:10 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:25:10 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:25:10 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:25:10 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:25:10 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:33 +0530] "GET /trustworthy_evote/eclogin.jsp HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:33 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:33 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:33 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:33 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:33 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:33 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:35 +0530] "GET /trustworthy_evote/userlogin.jsp HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:35 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:35 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:35 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:35 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:35 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:26:35 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:28 +0530] "GET /trustworthy_evote/userlogin.jsp HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:29 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:29 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:29 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:29 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:29 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:29 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:29 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:32 +0530] "GET /trustworthy_evote/eclogin.jsp HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:32 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:32 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:32 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:32 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:32 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:27:32 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:02 +0530] "GET /trustworthy_evote/eclogin.jsp HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:02 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:02 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:02 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:02 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:51 +0530] "POST /trustworthy_evote/eclogindb.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:52 +0530] "GET /trustworthy_evote/ec.jsp HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:52 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:52 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:52 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:52 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:52 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:28:52 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:31:28 +0530] "POST /trustworthy_evote/ecdb.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:31:31 +0530] "GET /trustworthy_evote/ec.jsp HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:31:31 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:31:31 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:31:31 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:34 +0530] "POST /trustworthy_evote/ecdb.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:36 +0530] "GET /trustworthy_evote/ec.jsp HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:36 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:36 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:36 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:36 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:36 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:32:36 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:15 +0530] "POST /trustworthy_evote/ecdb.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:17 +0530] "GET /trustworthy_evote/ec.jsp HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:17 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:17 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:17 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:18 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:18 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:18 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:47 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:47 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:47 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:47 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:47 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:47 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:34:47 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:03 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 6027
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:03 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:03 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:03 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:04 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:04 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:04 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:49:04 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:10:57:06 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 6031
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:03:35 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:05:11 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:10:17 +0530] "POST /trustworthy_evote/candb.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:10:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:11:52 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:28 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:29 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:29 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:29 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:29 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:29 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:29 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:29 +0530] "GET /trustworthy_evote/assets/img/elogo.png HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:53 +0530] "POST /trustworthy_evote/candb.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:55 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:55 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:55 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:55 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:55 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:55 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:12:55 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:09 +0530] "GET /trustworthy_evote/viewcan.jsp HTTP/1.1" 200 4926
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:09 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:09 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:09 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:09 +0530] "GET /trustworthy_evote/Document/police-badge-8-567360.png HTTP/1.1" 200 21374
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:17 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:17 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:17 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:17 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:17 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:17 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:15:17 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:03 +0530] "POST /trustworthy_evote/candb.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:05 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:05 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:05 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:05 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:05 +0530] "GET /trustworthy_evote/assets/js/skel.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:05 +0530] "GET /trustworthy_evote/assets/js/util.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:26 +0530] "POST /trustworthy_evote/candb.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:28 +0530] "GET /trustworthy_evote/candidate.jsp HTTP/1.1" 200 5765
0:0:0:0:0:0:0:1 - - [18/Jun/2021:11:16:28 +0530] "GET /trustworthy_evote/assets/js/jquery.min.js HTTP/1.1" 404 1076
